roi_id,cohort_role,selection_group,cycleNo,event_reference_cycle,mode_label,mode_review_priority,control_balance_priority_score,front_quality_score,phase_slope_positive_fraction_protocol_residual,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s_protocol_residual,rollout_mobility_difficulty_score,q70_phase_ci_positive,q70_radius_ci_crosses_zero,in_original_qc_package,n_components,largest_component_fraction,edge_touch_fraction,q70_threshold,q70_first_fraction,q70_last_fraction,q70_fraction_delta,qc_png,auto_review_flags,manual_qc_status,manual_qc_decision,manual_qc_notes
cycle62_rank2_obj2,control,control_balancing,62.0,60.0,front_negative_high_apparent_front_proxy,2.682692307692308,7.676446806717729,2.079343177314194,-0.3596435064490023,-0.4038461538461538,3.462629960463573e-06,1.60085715319586e-06,1.326923076923077,False,False,False,74,0.30388151174668027,0.0,0.07529472857713698,0.28699820251647695,0.2932893948472139,0.006291192330736939,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank2_obj2_qc.png,fragmented_q70_mask;threshold_sign_unstable,pending,,
cycle62_rank3_obj9,control,control_balancing,62.0,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,3.307692307692308,3.4465281481485666,1.5226033969557806,-0.0739292207347166,0.5096153846153847,4.786834628991654e-06,2.925061821723941e-06,3.057692307692308,True,False,True,68,0.3124042879019908,0.0,0.06854446753859518,0.2823547034152187,0.29343918514080286,0.011084481725584183,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank3_obj9_qc.png,fragmented_q70_mask;active_control;already_in_primary_qc,pending,,
cycle62_rank1_obj4,control,control_balancing,62.0,60.0,near_baseline_or_context_like,2.625,2.9342409556135634,1.9750338827400629,-0.0739292207347166,0.5865384615384616,2.18166299218825e-06,3.1989018492053685e-07,1.8269230769230769,False,False,False,64,0.40580448065173114,0.0,0.07186454385519028,0.2847513481126423,0.29418813660874776,0.009436788496105464,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank1_obj4_qc.png,fragmented_q70_mask,pending,,
cycle88_rank2_obj4,control,control_balancing,88.0,86.0,front_negative_high_apparent_front_proxy,1.8365384615384617,2.5489550718648237,0.6746893715851342,-0.1866405016576523,-0.1923076923076923,7.225978577165878e-06,3.149160158608212e-06,0.3846153846153844,True,False,True,63,0.3902932254802831,0.0,0.07542256340384483,0.2932893948472139,0.2962852007189934,0.0029958058717795,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle88_rank2_obj4_qc.png,fragmented_q70_mask;already_in_primary_qc,pending,,
cycle158_rank1_obj2,control,control_balancing,158.0,156.0,front_negative_high_apparent_front_proxy,1.875,2.069622233331016,0.8210227064111154,-0.1698143089994438,-0.2307692307692307,2.6708160871783503e-06,1.113273871681785e-06,1.0769230769230769,False,False,False,64,0.5017404276479364,0.0,0.07156872004270554,0.2823547034152187,0.3012282804074296,0.018873576992210928,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle158_rank1_obj2_qc.png,threshold_sign_unstable,pending,,
cycle58_rank6_obj29,control,control_balancing,58.0,60.0,near_baseline_or_context_like,2.6634615384615383,1.7590923642497396,1.6155277307729818,0.0849698428160106,0.6057692307692308,3.22953107952456e-08,-2.8884899133849952e-06,1.8461538461538465,False,True,False,72,0.4508492022645394,0.0,0.1286580666899681,0.29059316956261233,0.2910425404433793,0.00044937088076696385,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank6_obj29_qc.png,diffusion_ci_crosses_zero,pending,,
cycle158_rank6_obj3,control,control_balancing,158.0,156.0,near_baseline_or_context_like,2.2884615384615383,1.6709359668358303,1.5361833653905674,0.1158999767148418,0.4903846153846154,1.3885535501791292e-06,-1.6898866531743606e-07,1.6153846153846154,False,False,False,83,0.36012207527975587,0.0,0.0675110951066017,0.2787597363690833,0.2944877171959257,0.015727980826842403,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle158_rank6_obj3_qc.png,fragmented_q70_mask,pending,,
cycle62_rank4_obj1,control,control_balancing,62.0,60.0,optical_loss_rollout_hard,2.923076923076923,1.1201096634850307,1.1137010944495138,-0.0739292207347166,0.2596153846153847,6.537967484022862e-07,-1.207976058865427e-06,2.1346153846153846,False,True,False,82,0.3607068607068607,0.0,0.10192077234387396,0.28699820251647695,0.28819652486518876,0.001198322348711811,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank4_obj1_qc.png,fragmented_q70_mask;diffusion_ci_crosses_zero;active_control,pending,,
cycle90_rank6_obj3,control,control_balancing,90.0,86.0,near_baseline_or_context_like,0.9711538461538464,1.0222437150538166,1.289483423927142,-0.0178277307758196,0.1826923076923077,2.207513270481485e-06,-1.3877525085501498e-06,1.326923076923077,False,False,False,62,0.4476591267753814,0.0,0.10338838323950768,0.29478729778310364,0.2847513481126423,-0.010035949670461342,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle90_rank6_obj3_qc.png,fragmented_q70_mask,pending,,
cycle58_rank4_obj2,control,control_balancing,58.0,60.0,near_baseline_or_context_like,2.4903846153846154,0.953493189052121,1.1091514494562902,0.0849698428160106,0.7403846153846154,2.864937236969792e-06,-5.58479872104488e-08,1.3269230769230769,False,False,True,82,0.3614641586171835,0.0,0.0955252319574356,0.29343918514080286,0.29463750748951467,0.001198322348711811,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank4_obj2_qc.png,fragmented_q70_mask;already_in_primary_qc,pending,,
