cycleNo,any_abrupt_drop,synchronized_drop_2plus,capacity_mAh,coulombic_efficiency_pct,trace_state_cluster
2,0,0,0.6617634160010054,99.41619968375969,0
4,0,0,0.6522119151522108,99.1249945026246,0
6,0,0,0.651378193951287,99.1008709231668,0
8,0,0,0.6601349203498337,99.7033958090384,0
10,0,0,0.6589297755617513,99.59398375478416,1
12,0,0,0.6561075442300461,99.04320916306057,1
14,0,0,0.6530329238290579,100.42328259597396,0
26,0,0,0.6474638568058328,98.86159774315372,0
28,0,0,0.6496160466220149,98.7842726531302,0
30,0,0,0.6500891617769337,99.02359602141068,0
32,0,0,0.651167873005438,99.07509948333896,0
34,0,0,0.6498317652090385,98.7624204500116,0
36,0,0,0.6436790965861274,98.90136435694149,0
38,0,0,0.6463712421912423,98.9041707117209,0
40,0,0,0.6456776883909884,98.70623035375256,1
42,0,0,0.6433550351988286,98.73712122331123,0
44,0,0,0.6335059760529974,97.30886282905732,0
46,0,0,0.6398801285556821,98.9004507671446,0
48,0,0,0.6399956269773582,98.86131990909708,0
50,0,0,0.6399385683032753,98.86951111059348,0
52,0,0,0.6399538715053725,98.87612597794325,0
54,0,0,0.6398704223287225,98.85090799924473,0
56,0,0,0.6375714923988263,98.80849336059764,0
58,0,0,0.6391710499937513,98.7462520346092,0
60,1,0,0.6398820700465511,98.8206540493392,0
62,0,0,0.6373127960633862,98.6439268464617,0
64,0,0,0.6378367320564149,98.85440826000784,0
66,0,0,0.6341707408081786,98.83560312289966,0
68,0,0,0.6333962939103049,98.42825552854816,0
70,0,0,0.6342278371662973,98.62141113462258,0
72,0,0,0.6336484013776601,98.65242860018937,0
74,0,0,0.6312882726381965,98.03900241291728,0
76,0,0,0.6265629096357282,98.49423902936768,1
78,0,0,0.6281369715912719,98.81914382910963,1
80,0,0,0.6281793822546397,98.83713792081356,0
82,0,0,0.6285797414432752,98.51204426720564,1
84,0,0,0.626931303671796,98.85731468571622,0
86,1,1,0.623164453387729,98.59700920601584,0
88,0,0,0.625657274255596,99.09615709756363,1
90,0,0,0.6261703468961589,98.8631993478899,1
92,0,0,0.6253181712982415,98.91909233405694,1
94,0,0,0.6268646283366863,98.87589136011783,1
96,0,0,0.6264680253774085,97.9904725551036,0
98,0,0,0.624932044368529,98.1786664417081,0
100,0,0,0.6271394643536904,99.00715790899734,0
102,0,0,0.6269655434009839,98.76904183464588,0
104,0,0,0.6262963091730681,98.70039232971492,0
106,0,0,0.6215962920690086,98.49084541838673,0
108,0,0,0.623962989806186,98.59027240129016,1
110,0,0,0.6265993163629001,99.00844061867976,0
112,0,0,0.831203029316235,99.25550518434362,0
114,0,0,0.8279939523711375,98.56611683914352,0
116,1,1,0.824414588297882,98.39927188340005,1
118,0,0,0.8246261548736477,98.56526636456609,1
123,0,0,0.8194850102914072,98.60063143716702,0
124,0,0,0.8224419924742425,99.21302725391988,1
125,0,0,0.8202095282288281,99.05867704193368,1
126,0,0,0.8733915434641674,179.33998347782418,1
127,0,0,0.8780510836333449,99.12879514014308,1
128,0,0,0.8713986755195169,98.18959526246968,1
129,0,0,0.8674650544306721,98.09191394754308,1
130,0,0,0.8705715169803451,98.5852666034628,1
131,0,0,0.8692177312572485,98.41242448803447,1
132,0,0,0.8671846536490936,98.21771976137757,0
133,0,0,0.8641896534811302,98.2460712349953,0
134,0,0,0.8649637251972643,98.35358148834908,0
136,0,0,0.8604257282877363,98.27382629196318,0
137,0,0,0.8610977598255946,97.7808181508884,0
138,0,0,0.8607193130087532,98.43661334832476,1
139,0,0,0.8579783341994386,98.25055616472328,0
140,0,0,0.8574621449629688,98.2102232792842,0
141,0,0,0.8573090855082833,98.2008539552411,0
142,0,0,0.8574774462410572,98.42387779096435,0
143,0,0,0.8543287971418785,98.20707382736072,0
144,0,0,0.8509060544277643,98.04995067126984,1
145,0,0,0.8525854302627699,98.4197195749566,1
146,0,0,0.8465362155334497,94.75651022551988,1
147,0,0,0.8476244096711879,97.277614199115,1
148,0,0,0.8459858724847423,97.966336448007,1
149,0,0,0.8448736903676513,98.04171255725868,1
150,0,0,0.4018784230033991,46.81331631510453,0
151,0,0,,,0
152,0,0,,,1
153,0,0,,,1
154,0,0,,,0
155,0,0,,,0
156,1,0,,,0
157,0,0,,,0
158,0,0,,,0
