relative_path,source_class,suffix,file_size_mb,records_scanned,has_calibration_terms,snippet_count,snippets,h5_n_attrs,h5_n_calibration_attr_hits,movie_shape,error
NMC_degradation_3_160623_Halfthedata/12_c2_x10_070723_intensity.csv,csv,.csv,0.374057,1,False,0,,,,,
NMC_degradation_3_160623_Halfthedata/13_c2_x6_100723_intensity.csv,csv,.csv,0.22658,1,False,0,,,,,
NMC_degradation_3_160623_Halfthedata/14_c2_x10_HighCOV_110723_intensity.csv,csv,.csv,0.495742,1,False,0,,,,,
NMC_degradation_3_160623_Halfthedata/2_c2_x14_200623_intensity.csv,csv,.csv,0.571434,1,False,0,,,,,
NMC_degradation_2_240523/6_C20_x2_250523_electrochemistry.csv,electrochemistry_csv,.csv,145.208454,1,False,0,,,,,
NMC_degradation_3_160623_Halfthedata/13_c2_x6_100723_electrochemistry.csv,electrochemistry_csv,.csv,39.7932,1,False,0,,,,,
NMC_degradation_3_160623_Halfthedata/2_c2_x14_200623_electrochemistry.csv,electrochemistry_csv,.csv,98.237919,1,False,0,,,,,
alek_jiho_nmc_deg/echemDF_full/cycleFrames.csv,electrochemistry_csv,.csv,0.001143,1,False,0,,,,,
alek_jiho_nmc_deg/echemDF_full/echemDF_full.csv,electrochemistry_csv,.csv,2111.539732,1,False,0,,,,,
alek_jiho_nmc_deg/echemDF_full/echemDF_partial_10_2_2.csv,electrochemistry_csv,.csv,418.288853,1,False,0,,,,,
alek_jiho_nmc_deg/echemDF_full/echemDF_partial_2_1_1.csv,electrochemistry_csv,.csv,1265.812354,1,False,0,,,,,
alek_jiho_nmc_deg/echemDF_full/exampleParticles.csv,electrochemistry_csv,.csv,0.01083,1,False,0,,,,,
alek_jiho_nmc_deg/Battery_Degradation_Project/Charge Photometry Meeting 1902.pptx,presentation,.pptx,3.394849,13,True,2,tration of state-of-the-art techniques (experimental and analysis) Quantification of operando intra-particle heterogeneity on the electrode scale Examining particle ‘activity’ throughout cycling (separating particles into being ‘active’ or ‘inactive’) Further correlations? What might || field-of-view (180x120um) optical microscope Optical coin cell (under long cycling especially) Automated statistical analysis of electrode scale (de)lithiation behaviour Material and Electrode Design: Heterogeneity as a function of degradation – what are the modes of degradation on t,,,,
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Paper Outline.pptx,presentation,.pptx,2.345005,16,True,4,"ective distortion. We can therefore compute the mean and median facet sizes (black and red cross, respectively) by conversion from units of pixels to square microns. We also plot the minimum viable facet size based on the point spread function of the microscope as ~0.2um^2 (dotted line || . We can therefore compute the mean and median facet sizes (black and red cross, respectively) by conversion from units of pixels to square microns. We also plot the minimum viable facet size based on the point spread function of the microscope as ~0.2um^2 (dotted line)(check value). AD || iniSCAT set-up diagram. We present an improved microscope design, iterating on the instrument used by Merryweather et al., that offers 96nm pixel size and 180x120um FoV , compared to XXnm and YYxZZum . Example image of an NMC-811 electrode with 60%(?) active material mass loading acqu || e present an improved microscope design, iterating on the instrument used by Merryweather et al., that offers 96nm pixel size and 180x120um FoV , compared to XXnm and YYxZZum . Example image of an NMC-811 electrode with 60%(?) active material mass loading acquired using the new micr",,,,
alek_jiho_nmc_deg/Battery_Degradation_Project/Degradation Project.pptx,presentation,.pptx,9.683544,53,True,9,"Set up MiniScat, except borrowed with objective with lower magnification : 20X, 0.4 NA Electrodes and cells Kumar’s laser drilled electrodes. LiFun single-crystal NMC811 (Faraday). Drille || Set up MiniScat, except borrowed with objective with lower magnification : 20X, 0.4 NA Electrodes and cells Kumar’s laser drilled electrodes. LiFun single-crystal NMC811 (Faraday). Drilled in rows: 2 rows all the || pted. Cell then had many bubbles formed and wouldn’t cycle again. Switched to second cell… Cell 2: Cycled from pristine. No bubbles visible FOV: full field of view, including 4 drilled holes on left half, and undrilled holes on right half. Imaging camera exposure time = 2 ms (for al || then had many bubbles formed and wouldn’t cycle again. Switched to second cell… Cell 2: Cycled from pristine. No bubbles visible FOV: full field of view, including 4 drilled holes on left half, and undrilled holes on right half. Imaging camera exposure time = 2 ms (for all experiments) Autof || om pristine. No bubbles visible FOV: full field of view, including 4 drilled holes on left half, and undrilled holes on right half. Imaging camera exposure time = 2 ms (for all experiments) Autofocus: On for all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 || tine. No bubbles visible FOV: full field of view, including 4 drilled holes on left half, and undrilled holes on right half. Imaging camera exposure time = 2 ms (for all experiments) Autofocus: On for all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 ms. Proto || n right half. Imaging camera exposure time = 2 ms (for all experiments) Autofocus: On for all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 ms. Protocol (for all experiments): OCV 600s (10 min) Charge to 4.2 V V-hold at 4.2 V for 2 hr or until current half o || half. Imaging camera exposure time = 2 ms (for all experiments) Autofocus: On for all experiments, with beam overlapping a hole. AF camera exposure time 5 or 6 ms. Protocol (for all experiments): OCV 600s (10 min) Charge to 4.2 V V-hold at 4.2 V for 2 hr or until current half of set val",,,,
