cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,control_for_event_cycle,local_distance_from_event,source_reconstructed_overlay_png
90.0,10_c2_x10_030723,5,3,3,0.3333333333333333,matched_control_roi_candidate,572.7058823529412,232.7843137254902,143.1764705882353,58.19607843137255,51.0,9093.525390625,24.686952590942383,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
90.0,10_c2_x10_030723,5,4,4,0.25,matched_control_roi_candidate,1335.5280898876404,172.67415730337078,333.8820224719101,43.16853932584269,178.0,4178.74560546875,15.197076797485352,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
90.0,10_c2_x10_030723,5,5,5,0.2,matched_control_roi_candidate,1629.7894736842106,111.6842105263158,407.4473684210527,27.92105263157895,38.0,10335.025390625,26.260814666748047,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
90.0,10_c2_x10_030723,5,6,6,0.16666666666666666,matched_control_roi_candidate,1660.504854368932,188.4660194174757,415.126213592233,47.11650485436893,103.0,5763.9521484375,16.786224365234375,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
90.0,10_c2_x10_030723,5,7,7,0.14285714285714285,matched_control_roi_candidate,996.4102564102564,170.25641025641025,249.1025641025641,42.56410256410256,39.0,9893.951171875,25.241363525390625,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
90.0,10_c2_x10_030723,5,8,8,0.125,matched_control_roi_candidate,1185.0389610389611,1084.051948051948,296.2597402597403,271.012987012987,77.0,7017.8076171875,17.92768096923828,4534,5440,4,86.0,4.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_90_10_c2_x10_030723_local5.png
92.0,10_c2_x10_030723,7,1,1,1.0,matched_control_roi_candidate,575.0526315789474,231.47368421052636,143.76315789473685,57.86842105263158,38.0,12505.4560546875,31.867773056030277,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,2,2,0.5,matched_control_roi_candidate,1191.6129032258063,652.7741935483871,297.9032258064516,163.19354838709677,31.0,13109.9462890625,33.39131546020508,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,3,3,0.3333333333333333,matched_control_roi_candidate,831.6363636363636,65.96363636363637,207.9090909090909,16.490909090909092,55.0,9490.853515625,24.653200149536133,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,4,4,0.25,matched_control_roi_candidate,1630.6285714285714,112.22857142857144,407.6571428571429,28.057142857142857,35.0,11081.0068359375,28.27764129638672,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,5,5,0.2,matched_control_roi_candidate,997.0,170.22222222222223,249.25,42.55555555555556,36.0,10677.96484375,27.26182746887207,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,6,6,0.16666666666666666,matched_control_roi_candidate,1185.7971014492753,1086.376811594203,296.4492753623188,271.59420289855075,69.0,7582.2744140625,19.45953941345215,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,7,7,0.14285714285714285,matched_control_roi_candidate,1334.843137254902,171.13725490196077,333.71078431372547,42.78431372549019,204.0,3576.239501953125,13.90205192565918,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
92.0,10_c2_x10_030723,7,8,8,0.125,matched_control_roi_candidate,1643.6756756756756,191.45945945945945,410.9189189189189,47.86486486486486,37.0,9431.0654296875,24.11918067932129,6347,7254,4,86.0,6.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_92_10_c2_x10_030723_local7.png
118.0,13_c2_x6_100723,3,1,1,1.0,matched_control_roi_candidate,586.0,232.0,146.5,58.0,32.0,14731.552734375,34.05987548828125,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,2,2,0.5,matched_control_roi_candidate,1350.108527131783,177.95348837209303,337.52713178294573,44.48837209302326,129.0,6433.57666015625,18.447134017944336,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,3,3,0.3333333333333333,matched_control_roi_candidate,841.6,65.95555555555555,210.4,16.488888888888887,45.0,11935.52734375,28.06351089477539,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,4,4,0.25,matched_control_roi_candidate,1202.5806451612902,650.9677419354839,300.64516129032256,162.74193548387098,31.0,13858.099609375,32.06303024291992,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,5,5,0.2,matched_control_roi_candidate,1007.6129032258063,168.7741935483871,251.9032258064516,42.193548387096776,31.0,13130.736328125,30.400161743164062,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,6,6,0.16666666666666666,matched_control_roi_candidate,1641.103448275862,112.27586206896552,410.2758620689655,28.06896551724138,29.0,13394.1962890625,31.00247383117676,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,7,7,0.14285714285714285,matched_control_roi_candidate,1196.1739130434785,1087.304347826087,299.0434782608696,271.8260869565217,69.0,8601.546875,20.04574012756348,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
118.0,13_c2_x6_100723,3,8,8,0.125,matched_control_roi_candidate,1654.25,191.125,413.5625,47.78125,32.0,11553.712890625,26.794845581054688,2729,3638,4,116.0,2.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_118_13_c2_x6_100723_local3.png
