cycleNo,echem_shape_points,echem_shape_duration_s,shape_V_min,shape_V_max,shape_V_range,shape_V_mean,shape_V_std,shape_I_mean_mA,shape_I_abs_mean_mA,shape_I_pos_fraction,shape_I_neg_fraction,shape_charge_mAh_signed,shape_charge_mAh_abs,shape_charge_mAh_pos,shape_charge_mAh_neg_abs,shape_dVdt_slope,shape_dIdt_slope,shape_V_q05,shape_I_q05,shape_V_q10,shape_I_q10,shape_V_q25,shape_I_q25,shape_V_q50,shape_I_q50,shape_V_q75,shape_I_q75,shape_V_q90,shape_I_q90,shape_V_q95,shape_I_q95,shape_dVdt_abs_median,shape_dVdt_abs_p95,shape_dVdt_sign_consistency,all_dq_abs_total_mAh,all_dq_abs_lowV_frac,all_dq_abs_midV_frac,all_dq_abs_highV_frac,all_dq_abs_peak_voltage,all_dq_abs_peak_frac,all_dq_abs_entropy,all_dqdv_abs_integral_proxy,pos_dq_abs_total_mAh,pos_dq_abs_lowV_frac,pos_dq_abs_midV_frac,pos_dq_abs_highV_frac,pos_dq_abs_peak_voltage,pos_dq_abs_peak_frac,pos_dq_abs_entropy,pos_dqdv_abs_integral_proxy,neg_dq_abs_total_mAh,neg_dq_abs_lowV_frac,neg_dq_abs_midV_frac,neg_dq_abs_highV_frac,neg_dq_abs_peak_voltage,neg_dq_abs_peak_frac,neg_dq_abs_entropy,neg_dqdv_abs_integral_proxy,shape_block_mode,shape_block_nunique
2,95349,9540.410000562668,2.999776,4.200073,1.2002969999999995,3.82983480905935,0.18648569384885902,0.0017703341723563169,0.500889,0.5017671921047939,0.498232807895206,0.003948674733714894,1.3274128957699538,0.6656807852518344,0.6617321105181195,-3.148854989670162e-05,-0.00015757201933692776,3.543944,-0.500889,3.611699,-0.500889,3.714588,-0.500889,3.826742,0.500889,3.959743,0.500889,4.07846,0.500889,4.127684,0.500889,0.0,0.009600009156412388,0.02716365314427151,1.327350284804222,0.05343523439276411,0.6824976203629667,0.2640671452442692,3.825,0.12299632322558109,2.676550086013834,1.1058515390809296,0.6656494797689614,0.0013419253752511527,0.6162301922498943,0.38242788237485453,3.825,0.17387551105124638,2.292014296135978,0.5905671363251298,0.6617008050352521,0.10583940827782437,0.7491604968676283,0.14500009485454735,3.675,0.14363754530123815,2.659880164068296,0.5803054251828327,galvanostatic_2,2
4,94165,9416.561251163483,2.999969,4.200073,1.2001039999999996,3.828321507162959,0.19106087991334408,0.0022074967875537906,0.500889,0.5022035788244039,0.497796421175596,0.005773963358594416,1.3101810968150072,0.6579775300868008,0.6522035667282066,-3.6166841447761395e-05,-0.0001595719267484286,3.519621,-0.500889,3.597608,-0.500889,3.714395,-0.500889,3.830988,0.500889,3.958392,0.500889,4.078653,0.500889,4.128843,0.500889,0.0,0.0019302411478426362,0.03013890658850516,1.3101643999669885,0.06458809688711296,0.6730803062235796,0.2623315968893074,3.825,0.12911670347972334,2.6951791690541955,1.0917090518546635,0.6579691816627915,0.0010742345188575642,0.6077771675774061,0.39114859790373646,3.825,0.18645074713229795,2.210795501905331,0.6284172328698538,0.6521952183042059,0.1286642551811642,0.7389615814754167,0.13237416334341906,3.675,0.14270169520624876,2.6843754102052326,0.5751828377872021,galvanostatic_22,2
6,94056,9405.673755168915,2.999969,4.200073,1.2001039999999996,3.8282576972335627,0.19079680551767447,0.0022686347920388068,0.500889,0.5022646083184485,0.4977353916815514,0.005926564235704343,1.3086662559868898,0.657296410111297,0.6513698458755927,-3.6045269402214395e-05,-0.00015975646180422547,3.522324,-0.500889,3.59838,-0.500889,3.713622,-0.500889,3.830602,0.500889,3.958392,0.500889,4.078749500000001,0.500889,4.128843,0.500889,0.0,0.001930609427576232,0.02820690021795758,1.3086495598354788,0.06363261486199442,0.6742953967611445,0.2620719883768611,3.825,0.1293091681124357,2.694573944539573,1.090446794474045,0.6572880620355988,0.0010965140320704924,0.6075588013012879,0.3913446846666415,3.825,0.18685353885232872,2.219470352260931,0.6252306128242606,0.6513614977998934,0.12673771496478012,0.7416392106721927,0.1316230743630271,3.675,0.14282238848246126,2.67919301687672,0.57464318477352,galvanostatic_26,2
8,71705,9503.185639619827,2.976612,4.200266,1.2236540000000002,3.8420041986332887,0.18704326168295582,0.06435660493689428,0.500889,0.5642423819817307,0.4357576180182693,0.0020959913399518845,1.322233653289871,0.6621648223149115,0.6600688309749596,-3.0243939455356737e-05,-0.00015981937201431875,3.477154,-0.500889,3.629845,-0.500889,3.75223,-0.500889,3.841798,0.500889,3.970167,0.500889,4.078653,0.500889,4.126912,0.500889,0.0,0.00877731574953536,0.00846535758116702,1.3220896483206719,0.09134753073415638,0.6442512726880869,0.26440119657775657,3.775,0.127262768592905,2.7122170354434707,1.0804440212026207,0.6620987329400408,0.0008132548347205127,0.6140481023961322,0.38513864276914733,3.825,0.17648912989324034,2.2291814135676,0.677582856373897,0.659990915380668,0.18217094657781782,0.6745509030542193,0.14327815036796285,3.675,0.13870663243437661,2.7368758585812283,0.5680360960757358,galvanostatic_6,2
10,52469,9491.05480670929,2.96503,4.202196,1.2371659999999998,3.8278038535325623,0.19607664084553442,0.0008687205588061791,0.500889,0.5008671787150508,0.49913282128494924,0.0027794896061096273,1.3205458197438358,0.6616626546749729,0.6588831650688631,-3.673417310356036e-05,-0.00015832444684425775,3.484875,-0.500889,3.593554,-0.500889,3.718448,-0.500889,3.830409,0.500889,3.962446,0.500889,4.080583,0.500889,4.13058,0.500889,0.0,0.008392608623454291,0.011492719371807578,1.320444250748685,0.08020431516074368,0.6555974571017498,0.26419822773750645,3.775,0.13656476769846423,2.7046593993916095,1.0673137240666857,0.6616160441820857,0.001796356722559389,0.6094636416395931,0.3887400016378475,3.775,0.19087644362033226,2.159316424621935,0.64534496166366,0.658828206566627,0.15894405759618913,0.7019264882283051,0.13912945417550593,3.675,0.14064619799506575,2.7310603498572785,0.5614387885496506,galvanostatic_10,2
12,47321,9476.734190225601,2.990896,4.20181,1.2109139999999998,3.825533208047167,0.19006598510640202,-1.0584920014368156e-05,0.500889,0.49998943386657085,0.5000105661334291,0.006459268434998143,1.318553308835531,0.6625062886352646,0.6560470202002663,-3.48636991955676e-05,-0.00015785596709557857,3.502441,-0.500889,3.596643,-0.500889,3.715553,-0.500889,3.826934,-0.500889,3.952601,0.500889,4.07653,0.500889,4.127491,0.500889,0.0,0.0038599668696363623,0.012066779374471683,1.3184322607759402,0.07087902353988845,0.6644728184416948,0.26464815801841673,3.825,0.12918821752673587,2.7007822792907703,1.088790996533148,0.6624457646054878,0.002129740284144278,0.6086759968346079,0.38919426288124764,3.825,0.18541971641456725,2.1952629095560092,0.6187745156168007,0.6559864961704877,0.14030525682105635,0.7208190517373778,0.13887569144156586,3.675,0.14244111792374498,2.710506357052548,0.5724834828748754,galvanostatic_15,2
14,94417,9367.201048612595,2.999776,4.200073,1.2002969999999995,3.830755991908237,0.1907685264412253,0.002912484626709183,0.500889,0.5029073154198926,0.4970926845801074,-0.002735827109553131,1.303313323899587,0.650288748395017,0.6530245755045702,-3.914419662963642e-05,-0.00016365605628656737,3.516919,-0.500889,3.597608,-0.500889,3.715939,-0.500889,3.830988,0.500889,3.958585,0.500889,4.078653,0.500889,4.128843,0.500889,0.0,0.0019301122823316475,0.03447508896797153,1.3032827147420158,0.0668625552969612,0.6683424181040496,0.2647950265989892,3.775,0.12229553995047802,2.7026690190472022,1.0858001934038128,0.6502804000704983,0.0029291513303776654,0.6002917617968216,0.39677908687280067,3.825,0.1731256731901058,2.224299981841993,0.5903787962650568,0.6530023146715139,0.1305294651610903,0.7361094183340291,0.13336111650488044,3.675,0.14250402089211917,2.6890841896198188,0.5755022977456026,galvanostatic_18,2
26,93602,9360.516988992691,2.999969,4.200073,1.2001039999999996,3.8280867613085183,0.18978501659905894,0.002900385013140778,0.500889,0.5028952372812546,0.4971047627187453,0.007515447163730092,1.3023833316943223,0.6549493894290261,0.647433942265296,-3.554102034874104e-05,-0.00016052712592553122,3.52908,-0.500889,3.60089,-0.500889,3.710341,-0.500889,3.830023,0.500889,3.957813,0.500889,4.079039,0.500889,4.129228,0.500889,0.0,0.009648513951304071,0.02588647557184218,1.3023235026132758,0.060730212017788235,0.6780113354885702,0.2612584524936414,3.825,0.12867525322768036,2.692073960188713,1.0851755369645266,0.6549194748884996,0.0012003344094725778,0.6071850598866299,0.39161460570389756,3.825,0.18538790110370762,2.2535798832582103,0.6075815789122858,0.6474040277247641,0.12095114749826755,0.7496598042022303,0.12938904829950207,3.675,0.14648947654144387,2.661843180125777,0.5716384905489199,galvanostatic_2,2
28,81639,9395.32840871811,2.980858,4.200073,1.2192149999999997,3.8290444883695294,0.18733220088308655,0.02658474548928823,0.500889,0.5265375617045774,0.4734624382954225,0.00812137194428969,1.307226847587335,0.6576741097658122,0.6495527378215226,-3.365055293941086e-05,-0.000159277848953302,3.530625,-0.500889,3.603206,-0.500889,3.716132,-0.500889,3.831567,0.500889,3.954917,0.500889,4.075178,0.500889,4.1261592999999985,0.500889,0.0,0.009637601161982154,0.00861118596731914,1.3070626587361909,0.06180029040416224,0.6761950799252574,0.26200462967058036,3.825,0.12812881174781005,2.6952485104807526,1.0720526393918965,0.6576108009653214,0.0014281504685978263,0.6071296002781573,0.391442249253245,3.825,0.18426543729713385,2.2549787418957177,0.6010369920176739,0.6494518577708691,0.12293087433271555,0.7461282163792429,0.13094090928804158,3.675,0.1467818345653809,2.670490437693125,0.5634585103038297,galvanostatic_6,2
30,69357,9390.739804506302,2.992055,4.201423999999999,1.2093689999999993,3.8327639389967842,0.18769143435382826,0.019578558458410826,0.500889,0.5195438095650042,0.48045619043499577,0.006522786504633271,1.306588408316488,0.6565555974105608,0.6500328109059275,-3.363845823358688e-05,-0.0001601913676458779,3.535257,-0.500889,3.606295,-0.500889,3.718835,-0.500889,3.833498,0.500889,3.960901,0.500889,4.082320999999999,0.500889,4.131159,0.500889,0.0,0.009645984581624611,0.01586019955014707,1.306475706574486,0.06019321831848333,0.6776451588490159,0.2621616228325008,3.825,0.12722801307049297,2.6913927745156307,1.0802953495372272,0.6564992465395486,0.0016001366506409763,0.6063676823984556,0.3920321809509035,3.825,0.18342471653037182,2.2569478940134546,0.6109072392726324,0.6499764600349248,0.119374306146345,0.7496379346835853,0.13098775917006966,3.675,0.14538937087311118,2.659488173959998,0.5694454802219385,galvanostatic_10,2
